Risk_Category,Education_Level,n,avg_salary,avg_automation_prob,avg_ai_exposure
High,Bachelor's,188,87616.6755319149,0.8320744680851064,0.5095212765957448
High,High School,187,83841.4385026738,0.8255080213903744,0.5017112299465241
High,Master's,188,90989.22872340426,0.8246808510638297,0.515904255319149
High,PhD,177,86947.61581920904,0.8361016949152543,0.5123728813559322
Low,Bachelor's,190,87420.5947368421,0.17910526315789474,0.49826315789473685
Low,High School,182,93598.39010989011,0.18197802197802196,0.49565934065934064
Low,Master's,188,90892.60638297872,0.16893617021276597,0.4884574468085106
Low,PhD,179,84701.77653631284,0.17653631284916202,0.5020670391061453
Medium,Bachelor's,387,90082.70284237726,0.4969250645994832,0.489328165374677
Medium,High School,415,88154.09638554217,0.5099036144578314,0.49650602409638556
Medium,Master's,359,91714.0947075209,0.49440111420612814,0.5046796657381616
Medium,PhD,360,92236.90555555555,0.49655555555555553,0.5093888888888889
