work_year,experience_level,company_size,n,avg_salary_usd,avg_remote_ratio
2020,EN,L,9,85821.55555555556,72.22222222222223
2020,EN,M,2,31362.5,50.0
2020,EN,S,10,63153.5,55.0
2020,EX,L,3,234944.33333333334,83.33333333333333
2020,EX,M,1,15000.0,0.0
2020,MI,L,15,87063.26666666666,63.333333333333336
2020,MI,M,10,123510.6,50.0
2020,MI,S,6,51157.333333333336,66.66666666666667
2020,SE,L,7,157633.0,71.42857142857143
2020,SE,M,4,152871.25,75.0
2020,SE,S,8,114926.625,56.25
2021,EN,L,19,64702.21052631579,60.526315789473685
2021,EN,M,13,51574.153846153844,73.07692307692308
2021,EN,S,14,72821.07142857143,78.57142857142857
2021,EX,L,6,193418.83333333334,58.333333333333336
2021,EX,M,2,107513.0,25.0
2021,EX,S,2,242870.5,100.0
2021,MI,L,55,97273.81818181818,70.0
2021,MI,M,19,75754.78947368421,73.6842105263158
2021,MI,S,13,58753.769230769234,57.69230769230769
2021,SE,L,44,132850.86363636365,68.18181818181819
2021,SE,M,18,114559.0,77.77777777777777
2021,SE,S,13,118594.69230769231,80.76923076923077
2022,EN,L,41,70428.82926829268,73.17073170731707
2022,EN,M,63,87466.12698412698,46.82539682539682
2022,EN,S,13,69180.76923076923,80.76923076923077
2022,EX,L,6,114906.83333333333,41.666666666666664
2022,EX,M,32,201221.09375,75.0
2022,EX,S,4,173805.5,100.0
2022,MI,L,42,94486.45238095238,75.0
2022,MI,M,297,106494.6228956229,48.98989898989899
2022,MI,S,20,64416.4,72.5
2022,SE,L,106,156227.51886792452,62.264150943396224
2022,SE,M,1023,147248.29325513195,53.86119257086999
2022,SE,S,12,117439.75,79.16666666666667
2023,EN,L,51,81613.3137254902,50.0
2023,EN,M,400,93266.165,29.625
2023,EN,S,14,61649.0,60.714285714285715
2023,EX,L,6,194460.33333333334,58.333333333333336
2023,EX,M,235,191810.4765957447,36.170212765957444
2023,EX,S,2,86208.0,75.0
2023,MI,L,104,127198.0,31.25
2023,MI,M,1588,124028.75944584383,27.739294710327457
2023,MI,S,25,93324.36,58.0
2023,SE,L,330,166967.67272727273,12.878787878787879
2023,SE,M,5749,165545.16002783092,33.45799269438163
2023,SE,S,18,97418.83333333333,80.55555555555556
2024,EN,L,153,123719.39869281046,4.248366013071895
2024,EN,M,6022,102990.16771836599,13.63334440385254
2024,EN,S,5,49684.8,40.0
2024,EX,L,4,155833.0,87.5
2024,EX,M,1187,201778.98315080034,17.775905644481888
2024,MI,L,759,157401.2279314888,4.808959156785244
2024,MI,M,18761,145253.19247374873,16.035925590320346
2024,MI,S,9,80883.11111111111,50.0
2024,SE,L,629,181280.97933227345,5.802861685214626
2024,SE,M,34682,175638.80338504122,22.32426042327432
2024,SE,S,17,112621.5294117647,29.41176470588235
2025,EN,L,2,104004.0,0.0
2025,EN,M,46,82413.71739130435,21.73913043478261
2025,EX,M,4,179058.75,0.0
2025,MI,L,12,177209.0,16.666666666666668
2025,MI,M,116,130304.1724137931,17.24137931034483
2025,SE,L,4,197500.0,0.0
2025,SE,M,262,158346.12595419848,19.083969465648856
